,make,model,variant,body_type,mileage,fuel_type,transmission,year,city,price
0,Aston Martin,Vantage,V8 Sport,coupe,19003,petrol,automatic,2013,Mumbai,7395000
1,Audi,Q5,3.0 TDI Quattro,suv,130000,diesel,automatic,2011,Ajmer,1250000
2,Audi,Q3,2.0 TDI Quattro Premium Plus,suv,160000,diesel,automatic,2012,Ajmer,1250000
3,Audi,Q5,30 TDI quattro Premium Plus,suv,104000,diesel,automatic,2015,Bangalore,2550000
4,Audi,Q3,2.0 TDI Quattro Premium Plus,suv,49000,diesel,automatic,2015,Bangalore,1875000
5,Audi,Q3,2.0 TDI,suv,65000,diesel,automatic,2013,Bangalore,1650000
6,Audi,A6,2.0 TDI Premium Plus,sedan,111000,diesel,automatic,2012,Bangalore,1525000
7,Audi,Q7,3.0 TDI Quattro Premium Plus,suv,98000,diesel,automatic,2009,Bangalore,1500000
8,Audi,Q7,3.0 TDI Quattro Technology,suv,85000,diesel,automatic,2013,Bangalore,2300000
9,Audi,Q3,35 TDI Quattro Premium Plus,suv,75000,diesel,automatic,2018,Bangalore,2950000
10,Audi,Q7,45 TDI Quattro Premium Plus,suv,40000,diesel,automatic,2016,Bangalore,5950000
11,Audi,Q3,2.0 TDI Quattro Premium Plus,suv,79160,diesel,automatic,2012,Bangalore,1700000
12,Audi,A6,2.0 TDI,sedan,69481,diesel,automatic,2012,Bangalore,1850000
13,Audi,Q7,45 TDI Quattro Technology,suv,40000,diesel,automatic,2016,Bangalore,5950000
14,Audi,Q3,35 TDI Quattro Premium,suv,62254,diesel,automatic,2014,Bangalore,1890000
15,Audi,A4,2.0 TDI 177 Bhp Premium Plus,sedan,75000,diesel,automatic,2013,Bangalore,1455000
16,Audi,Q5,2.0 TDI,suv,92000,diesel,automatic,2012,Bangalore,1600000
17,Audi,Q7,3.0 TDI quattro,suv,142328,diesel,automatic,2011,Bangalore,2150000
18,Audi,Q3,35 TDI Dynamic Edition,suv,75296,diesel,automatic,2018,Bangalore,3250000
19,Audi,Q3,35 TDI Quattro Premium Plus,suv,75000,diesel,automatic,2018,Bangalore,2785000
20,Audi,Q3,35 TDI Quattro Premium,suv,64000,diesel,automatic,2012,Bangalore,1300000
21,Audi,Q5,30 TDI Design Edition,suv,65000,diesel,automatic,2015,Bangalore,1750000
22,Audi,A6,35 TDI,sedan,46000,diesel,automatic,2015,Bangalore,2390000
23,Audi,Q5,2.0 TDI,suv,55000,diesel,automatic,2012,Bangalore,1900000
24,Audi,Q3,2.0 TDI,suv,58154,diesel,automatic,2013,Faridabad,1350000
25,Audi,A4,New  2.0 TDI Multitronic,sedan,70000,diesel,automatic,2011,Faridabad,550000
26,Audi,Q3,30 TDI Premium FWD,suv,31200,diesel,automatic,2017,Gurgaon,2580000
27,Audi,A6,35 TDI,sedan,40800,diesel,automatic,2016,Gurgaon,2380000
28,Audi,A4,2.0 TDI 177 Bhp Premium Plus,sedan,69300,diesel,automatic,2014,Gurgaon,1480000
29,Audi,Q7,3.0 TDI Quattro Technology,suv,62000,diesel,automatic,2013,Gurgaon,1790000
30,Audi,Q7,45 TDI Quattro Technology,suv,28000,diesel,automatic,2015,Gurgaon,4475000
31,Audi,A4,35 TDI Technology,sedan,38000,diesel,automatic,2017,Gurgaon,2880000
32,Audi,A4,2.0 TDI 177 Bhp Premium Plus,sedan,52000,diesel,automatic,2013,Gurgaon,1090000
33,Audi,A6,35 TDI,sedan,40000,diesel,automatic,2016,Gurgaon,2750000
34,Audi,A4,2.0 TDI Premium Sport Limited Edition,sedan,32000,diesel,automatic,2013,Gurgaon,1170000
35,Audi,A4,35 TDI Premium,sedan,43100,diesel,automatic,2016,Gurgaon,1750000
36,Audi,A6,2.0 TDI,sedan,67500,diesel,automatic,2012,Gurgaon,925000
37,Audi,Q3,35 TDI Quattro Premium,suv,90000,diesel,automatic,2016,Gurgaon,1880000
38,Audi,Q3,35 TDI Quattro Premium,suv,64000,diesel,automatic,2016,Gurgaon,1880000
39,Audi,Q5,35TDI Technology,suv,41800,diesel,automatic,2018,Gurgaon,4550000
40,Audi,Q7,35 TDI Quattro Premium,suv,66700,diesel,automatic,2015,Gurgaon,2650000
41,Audi,A6,2.0 TDI Premium Plus,sedan,71600,diesel,automatic,2014,Gurgaon,1690000
42,Audi,A4,2.0 TDI,sedan,99000,diesel,automatic,2014,Hyderabad,1550000
